Size,Linear,Binary,Hash
1000,7.88,0.000170015,7.89952e-05
2000,16.398,0.000190556,7.70705e-05
3000,23.4322,0.000204893,8.17461e-05
4000,29.1357,0.000225307,7.67372e-05
5000,36.6925,0.000212014,7.63885e-05
6000,45.8651,0.000220096,7.79754e-05
7000,53.3124,0.000221336,8.08982e-05
8000,57.2684,0.000224309,7.8889e-05
9000,60.9998,0.000239008,8.09293e-05
10000,63.6017,0.000236327,8.20788e-05
11000,64.8027,0.000235276,8.55326e-05
12000,65.8958,0.000254728,8.92273e-05
13000,104.9,0.00024579,8.451e-05
14000,111.4,0.00024822,9.01e-05
15000,119.2,0.00026193,9.119e-05
16000,147.6,0.00026549,9.064e-05
17000,131.3,0.00027161,8.644e-05
18000,138.1,0.00025886,9.313e-05
19000,145.2,0.00025607,9.573e-05
20000,152.3,0.00026285,9.38e-05
