Array Size, Heap Sort, Quick Sort, Shell Sort, Merge Sort,,,,,,,,,
2500,0.82676,0.36934,0.27344,0.52364,,,,,,,,,
5000,1.50436,0.62912,0.4934,0.83122,,,,,,,,,
7500,2.17986,0.86974,0.73156,1.1275,,,,,,,,,
10000,2.8948,1.2499,0.99854,1.54116,,,,,,,,,
12500,4.0061,1.7095,1.34026,2.04236,,,,,,,,,
15000,4.66568,1.93212,1.56248,2.44338,,,,,,,,,
17500,6.07978,2.612,2.02786,2.99046,,,,,,,,,
20000,6.31152,2.80022,2.51556,3.75472,,,,,,,,,
22500,7.8962,3.80878,3.12534,4.41028,,,,,,,,,
25000,8.55102,3.75224,2.96022,4.21694,,,,,,,,,
27500,9.60378,4.0253,3.2155,5.08744,,,,,,,,,
30000,10.3433,4.19516,3.5322,5.1,,,,,,,,,
32500,10.7493,4.68614,3.91238,5.4335,,,,,,,,,
35000,11.8592,4.9677,4.40504,5.89136,,,,,,,,,
37500,12.7251,5.5918,4.71676,6.4323,,,,,,,,,
40000,14.1757,5.97982,5.1759,6.58486,,,,,,,,,
42500,14.2289,6.03562,5.66862,7.34286,,,,,,,,,
45000,15.2592,6.50756,5.66206,7.36816,,,,,,,,,
47500,16.6465,7.0292,6.11702,8.11074,,,,,,,,,
50000,17.846,7.72128,6.70814,9.0781,,,,,,,,,
52500,18.5685,7.85002,6.56212,9.27926,,,,,,,,,
55000,19.5253,8.3102,7.26002,9.61,,,,,,,,,
57500,19.9721,8.9134,7.90416,9.61794,,,,,,,,,
60000,20.6077,8.89028,7.88838,9.84084,,,,,,,,,
62500,21.5665,9.3656,8.35612,10.6876,,,,,,,,,
65000,22.8628,9.71172,8.8764,11.3268,,,,,,,,,
67500,24.8122,10.2744,9.05164,11.4872,,,,,,,,,
70000,24.7718,10.6094,9.25194,11.8248,,,,,,,,,
72500,25.3446,10.9828,9.52196,12.3369,,,,,,,,,
75000,26.7776,11.8325,10.0095,12.5794,,,,,,,,,
77500,27.6775,11.5932,10.4334,13.2627,,,,,,,,,
80000,28.2259,12.6289,11.4893,13.5318,,,,,,,,,
82500,28.6355,12.5635,11.6898,13.7465,,,,,,,,,
85000,29.4006,13.0714,12.5771,14.313,,,,,,,,,
87500,31.2556,13.373,11.7978,14.94,,,,,,,,,
90000,32.0948,14.1582,12.5278,15.366,,,,,,,,,
92500,32.984,14.3393,12.6608,16.1007,,,,,,,,,
95000,33.8605,14.8696,13.7492,16.9211,,,,,,,,,
97500,39.8167,15.7241,13.9102,16.908,,,,,,,,,
100000,36.5469,15.952,14.5615,18.5286,,,,,,,,,
,,,,,,,,,,,,,
