Size, QuickSort, MergeSort, HeapSort, ShellSort
1000, 120, 433, 221, 330
2000, 273, 863, 684, 394
3000, 458, 1351, 802, 664
4000, 563, 1884, 1013, 927
5000, 757, 1973, 1078, 1081
6000, 689, 2463, 1542, 1181
7000, 889, 2591, 1554, 1259
8000, 851, 2797, 1703, 1881
9000, 1264, 3526, 1849, 1539
10000, 1227, 3529, 2182, 1731
11000, 1250, 3840, 2363, 1984
12000, 1603, 4737, 2803, 2187
13000, 1547, 5510, 4030, 3313
14000, 1863, 5277, 3380, 2931
15000, 1842, 5576, 3412, 3667
16000, 2230, 6481, 3998, 3546
17000, 2240, 7695, 5107, 4566
18000, 2969, 7845, 5486, 3809
19000, 2467, 8352, 5316, 5673
20000, 3773, 7742, 4918, 3989
21000, 2545, 8359, 4860, 4758
22000, 3112, 8724, 6074, 5365
23000, 3330, 9272, 5863, 4787
24000, 3713, 9720, 5926, 5612
25000, 3297, 9951, 7306, 7241
26000, 3428, 10248, 6610, 5496
27000, 4581, 11841, 7393, 5801
28000, 4378, 10201, 8690, 6541
29000, 4173, 11692, 8704, 7894
30000, 5113, 13470, 7928, 7139
31000, 4518, 12595, 7384, 6540
32000, 4093, 11583, 7517, 8086
33000, 4430, 14447, 10032, 9077
34000, 4757, 13159, 8902, 7838
35000, 4296, 13135, 8766, 8030
36000, 5624, 17167, 8846, 7925
37000, 5706, 14553, 8996, 8846
38000, 5105, 14664, 9591, 8506
39000, 5504, 16343, 9483, 10161
40000, 5132, 16333, 10098, 9569
