Array Size, Heap Sort, Quick Sort, Shell Sort, Merge Sort
2500,0.77228,0.28214,0.19806,0.38268
5000,1.39584,0.5608,0.42668,0.7701
7500,2.09442,0.86714,0.6574,1.1213
10000,2.8941,1.1818,0.94556,1.59706
12500,3.99184,1.6469,1.33246,2.07596
15000,4.46424,1.95104,1.56538,2.3928
17500,5.2133,2.20132,1.73668,2.7556
20000,6.18468,2.51996,2.08546,3.13002
22500,7.20014,2.86886,2.35594,3.58136
25000,7.92286,3.22622,2.77084,3.98044
27500,9.31766,3.7542,3.02384,4.61732
30000,10.179,4.18122,3.47504,5.05668
32500,11.2902,4.86158,3.82912,5.58372
35000,14.8328,5.42776,4.48264,7.26182
37500,14.6771,5.92922,4.56786,7.02032
40000,14.3414,5.95264,4.94494,6.6356
42500,15.298,6.16742,5.4534,7.74084
45000,15.8855,6.55552,6.19204,8.53356
47500,16.4967,6.9301,5.58716,8.38246
50000,17.9074,7.7857,6.26106,8.47988
52500,18.7559,7.84088,6.857,9.03392
55000,19.966,8.6363,7.11864,9.79988
57500,19.6258,8.36916,7.38624,9.45202
60000,20.7708,8.58828,7.41582,11.1658
62500,21.8414,9.20164,7.72276,10.5819
65000,22.8664,9.39142,8.34564,11.1996
67500,23.6731,9.80086,8.60936,11.4509
70000,24.6825,10.204,8.73394,12.1497
72500,25.3772,10.5706,9.48436,12.2266
75000,26.6005,11.0609,9.40746,12.6557
77500,28.2515,12.3569,10.4337,13.8513
80000,27.9708,11.4088,10.656,13.3517
82500,29.4575,11.9979,10.9442,14.9085
85000,29.7357,13.5944,11.8763,15.225
87500,30.9645,13.0401,11.382,14.7574
90000,31.6929,13.0199,11.7798,15.1223
92500,32.7713,13.6317,11.7616,15.803
95000,33.7022,14.0261,12.9893,16.2045
97500,34.9148,14.4774,13.0694,16.3415
100000,35.2618,15.1894,13.5645,16.9281
