Array Size, Heap Sort, Quick Sort, Shell Sort, Merge Sort
2500,0.79598,0.31542,0.22048,0.42536
5000,1.48056,0.60174,0.50058,0.8236
7500,2.34004,0.94766,0.84558,1.32978
10000,2.988,1.20576,0.98376,1.5367
12500,3.72238,1.59564,1.24108,1.94704
15000,4.74108,2.06824,1.51496,2.35008
17500,5.1656,2.21458,1.70296,2.72758
20000,7.03778,2.7669,2.13688,3.70356
22500,6.86744,2.90536,2.54466,3.72834
25000,8.07836,3.3477,2.65028,3.9471
27500,8.73418,3.69766,2.90804,4.37472
30000,9.48658,3.99346,3.16722,4.8568
32500,10.1971,4.46298,3.56634,5.2885
35000,11.3483,4.86206,4.10848,5.79624
37500,12.2518,5.58012,4.34296,6.25842
40000,13.4114,5.49434,4.58544,6.95138
42500,16.1791,7.14228,6.7386,8.54314
45000,16.7348,7.1074,5.42546,7.54904
47500,17.0717,7.42532,6.11986,8.12726
50000,17.599,7.43974,6.60898,8.56082
52500,17.7224,7.52118,6.05338,8.69898
55000,18.6838,8.14518,6.57246,9.8297
57500,21.1208,8.21362,7.60468,10.0511
60000,21.0436,8.81362,7.58638,10.6865
62500,21.726,9.42424,7.402,10.1436
65000,23.266,9.47214,8.09066,10.7449
67500,24.0123,9.71934,8.68424,12.16
70000,24.4,10.2023,8.39588,11.7438
72500,25.1223,11.1855,9.13576,12.182
75000,26.7464,11.0157,9.4089,12.4395
77500,27.0101,11.5119,10.048,13.1033
80000,28.0212,12.1242,10.8656,13.5653
82500,28.4235,12.072,10.5947,13.6369
85000,28.8662,12.5366,11.3085,14.023
87500,30.3549,13.5022,11.3421,14.5861
90000,31.3799,13.4832,11.4229,14.9645
92500,31.5595,13.8582,11.6442,15.8048
95000,34.4583,15.4583,12.4795,16.3622
97500,33.9922,14.8478,12.6371,16.3976
100000,34.6509,14.9308,13.292,17.1093
